,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
24,24-Sep-2021,EQ,759.5,782.05,752.55,758.45,781.0,779.45,772.19,952.05,567.5,"49,67,824","3,83,61,17,028.85","1,12,530"
25,23-Sep-2021,EQ,756.5,762.0,752.75,752.5,758.1,758.45,757.61,952.05,567.5,"18,90,322","1,43,21,29,495.15","67,730"
26,22-Sep-2021,EQ,738.9,759.0,738.45,738.45,752.9,752.5,749.24,952.05,567.5,"22,87,017","1,71,35,20,986.65","65,420"
27,21-Sep-2021,EQ,740.1,740.9,729.55,738.05,738.9,738.45,734.95,952.05,567.5,"23,80,834","1,74,98,01,546.25","84,934"
28,20-Sep-2021,EQ,749.4,756.5,732.2,754.15,740.3,738.05,744.42,952.05,567.5,"29,33,375","2,18,36,69,507.20","1,02,497"
29,17-Sep-2021,EQ,758.2,766.0,749.15,756.95,757.45,754.15,756.94,952.05,567.5,"55,04,398","4,16,65,09,850.10","1,20,141"
30,16-Sep-2021,EQ,759.85,761.0,751.35,755.1,756.8,756.95,755.26,952.05,567.5,"26,86,018","2,02,86,55,274.95","94,538"
31,15-Sep-2021,EQ,752.0,760.0,746.5,750.2,756.0,755.1,754.51,952.05,567.5,"33,36,656","2,51,75,54,294.00","86,596"
32,14-Sep-2021,EQ,744.8,752.55,744.65,745.55,750.4,750.2,749.64,952.05,567.5,"30,89,381","2,31,59,08,904.25","75,901"
33,13-Sep-2021,EQ,753.5,753.5,740.35,750.75,746.0,745.55,745.03,952.05,567.5,"31,39,833","2,33,92,64,284.60","83,439"
34,09-Sep-2021,EQ,750.0,756.5,747.55,754.75,751.5,750.75,751.75,952.05,567.5,"33,13,559","2,49,09,80,699.70","97,073"
35,08-Sep-2021,EQ,756.0,757.8,749.0,753.1,755.0,754.75,754.01,952.05,567.5,"23,80,939","1,79,52,44,121.15","81,127"
36,07-Sep-2021,EQ,755.1,758.7,748.1,754.75,753.65,753.1,752.28,952.05,567.5,"22,73,976","1,71,06,73,153.45","67,127"
37,06-Sep-2021,EQ,753.0,759.8,747.05,749.9,756.15,754.75,751.72,952.05,567.5,"36,82,183","2,76,79,57,492.90","1,19,300"
